000001,000001,平安银行,,
000002,000002,万  科Ａ,,
000004,000004,国农科技,,
000005,000005,世纪星源,,
000006,000006,深振业Ａ,,
000007,000007,全新好,,
000008,000008,神州高铁,,
000009,000009,中国宝安,,
000010,000010,*ST美丽,,
000011,000011,深物业A,200011,深物业B
000012,000012,南  玻Ａ,200012,南  玻Ｂ
000014,000014,沙河股份,,
000016,000016,深康佳Ａ,200016,深康佳Ｂ
000017,000017,深中华A,200017,深中华B
000019,000019,深粮控股,200019,深粮B
000020,000020,深华发Ａ,200020,深华发Ｂ
000021,000021,深科技,,
000023,000023,深天地Ａ,,
000025,000025,特  力Ａ,200025,特  力Ｂ
000026,000026,飞亚达,200026,飞亚达Ｂ
000027,000027,深圳能源,,
000028,000028,国药一致,200028,一致Ｂ
000029,000029,深深房Ａ,200029,深深房Ｂ
000030,000030,富奥股份,200030,富奥B
000031,000031,大悦城,,
000032,000032,深桑达Ａ,,
000034,000034,神州数码,,
000035,000035,中国天楹,,
000036,000036,华联控股,,
000037,000037,深南电A,200037,深南电B
000038,000038,深大通,,
000039,000039,中集集团,,
000040,000040,东旭蓝天,,
000042,000042,中洲控股,,
000045,000045,深纺织Ａ,200045,深纺织Ｂ
000046,000046,泛海控股,,
000048,000048,康达尔,,
000049,000049,德赛电池,,
000050,000050,深天马Ａ,,
000055,000055,方大集团,200055,方大Ｂ
000056,000056,皇庭国际,200056,皇庭B
000058,000058,深 赛 格,200058,深赛格B
000059,000059,华锦股份,,
000060,000060,中金岭南,,
000061,000061,农 产 品,,
000062,000062,深圳华强,,
000063,000063,中兴通讯,,
000065,000065,北方国际,,
000066,000066,中国长城,,
000068,000068,华控赛格,,
000069,000069,华侨城Ａ,,
000070,000070,特发信息,,
000078,000078,海王生物,,
000088,000088,盐 田 港,,
000089,000089,深圳机场,,
000090,000090,天健集团,,
000096,000096,广聚能源,,
000099,000099,中信海直,,
000100,000100,TCL科技,,
000150,000150,宜华健康,,
000151,000151,中成股份,,
000153,000153,丰原药业,,
000155,000155,川能动力,,
000156,000156,华数传媒,,
000157,000157,中联重科,,
000158,000158,常山北明,,
000159,000159,国际实业,,
000166,000166,申万宏源,,
